id,outer_radius_m,inner_radius_m,length_m,volume_m3,weight_kg,route,ore_grade,energy_route,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_per_unit,quality_score,distance_km,price_per_kg_usd,electricity_kwh.1
non_001,0.15,0.0599,3.1461,0.18688336,504.5851,conventional,low,non_renewable,9628.14,9208.189,74.031,6180.876,40.46,2889.207,0.581,727.4,3.838,0.084
non_002,0.1687,0.0572,4.8187,0.38148904,1030.0204,conventional,low,non_renewable,18192.732,19533.786,187.537,18420.853,60.265,5034.883,0.533,758.3,3.167,0.0672
non_003,0.1575,0.0343,4.0325,0.29920539,807.8546,conventional,medium,non_renewable,13491.056,11357.819,127.298,284.976,39.597,4835.69,0.614,471.7,4.345,0.0712
non_004,0.1219,0.063,5.7628,0.1971816,532.3903,conventional,high,non_renewable,8919.562,8256.527,60.956,8304.225,5.833,2525.383,0.911,188.2,2.928,0.0827
non_005,0.1407,0.0549,2.9889,0.15757132,425.4426,conventional,high,non_renewable,6407.731,6016.136,49.392,5686.003,9.814,2008.153,0.895,231.3,2.715,0.1
non_006,0.0705,0.0514,5.9558,0.04356234,117.6183,conventional,low,non_renewable,2639.478,2143.898,18.361,2398.18,8.532,685.447,0.413,702.5,3.61,0.0671
non_007,0.1446,0.0588,3.3367,0.18282213,493.6198,conventional,medium,non_renewable,8336.829,6889.657,129.682,2883.524,27.59,2230.366,0.714,720.7,2.855,0.0724
non_008,0.1536,0.0537,4.7033,0.30599606,826.1894,conventional,high,non_renewable,12718.559,13292.959,140.051,22478.565,33.979,3740.375,0.903,514.5,2.641,0.0999
non_009,0.1093,0.0772,0.2413,0.00454625,12.2749,conventional,low,non_renewable,204.718,165.276,2.796,242.943,0.069,69.974,0.578,251.6,3.949,0.0786
non_010,0.0973,0.0816,3.4755,0.03080287,83.1678,conventional,high,non_renewable,1678.518,1117.098,9.794,2022.119,0.382,409.116,0.904,123.6,2.51,0.0978
