id,outer_radius_m,inner_radius_m,length_m,volume_m3,weight_kg,route,ore_grade,energy_route,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_per_unit,quality_score,distance_km,price_per_kg_usd,electricity_kwh.1
ren_001,0.0874,0.057,3.6321,0.05017904,135.4834,conventional,high,renewable,3056.774,630.193,21.863,2196.161,3.525,712.784,0.858,529.7,2.035,0.1309
ren_002,0.1613,0.0811,3.5952,0.219669,593.1063,conventional,medium,renewable,10857.057,3130.751,82.524,8416.904,29.741,3473.446,0.662,1093.0,3.104,0.1258
ren_003,0.1184,0.1114,4.6733,0.02353475,63.5438,recycled,,renewable,495.097,41.34,3.129,125.816,1.431,158.216,0.792,660.4,1.292,0.0883
ren_004,0.1588,0.056,0.7836,0.05438187,146.831,recycled,,renewable,1051.37,98.351,12.274,389.497,2.709,468.23,0.785,577.2,1.892,0.1164
ren_005,0.1569,0.116,3.0134,0.10580379,285.6702,conventional,medium,renewable,5135.897,1572.481,55.501,6396.005,2.294,1382.853,0.762,290.0,3.111,0.0802
ren_006,0.1769,0.0314,5.3661,0.51068189,1378.8411,conventional,low,renewable,22748.364,8444.019,318.442,18669.835,12.441,6603.345,0.471,282.1,2.433,0.1149
ren_007,0.1134,0.0385,5.8335,0.20849398,562.9337,recycled,,renewable,3362.761,289.249,28.905,1695.121,21.761,1436.651,0.696,348.8,1.601,0.1001
ren_008,0.1974,0.13,4.5936,0.31837484,859.6121,conventional,medium,renewable,15531.892,6492.623,120.671,10460.199,15.258,5269.725,0.645,819.5,3.408,0.1317
ren_009,0.0514,0.017,5.6267,0.04159038,112.294,conventional,high,renewable,1971.101,690.832,31.618,1502.218,13.33,596.453,0.87,1078.7,2.718,0.1305
ren_010,0.1797,0.1101,0.5964,0.03779009,102.0332,conventional,low,renewable,2164.255,718.287,13.504,1865.45,3.901,741.51,0.545,404.0,3.374,0.1573
ren_011,0.1223,0.044,1.6647,0.06811178,183.9018,conventional,low,renewable,3678.957,1821.5,33.792,1465.325,7.714,1280.829,0.61,872.5,3.901,0.1308
ren_012,0.1847,0.0028,5.5771,0.5974168,1613.0254,conventional,low,renewable,27388.18,11534.622,304.158,14148.339,33.203,10293.132,0.431,692.7,4.017,0.1111
ren_013,0.1133,0.0772,4.2124,0.09090898,245.4542,recycled,,renewable,1174.278,142.412,33.641,1192.008,20.735,750.571,0.65,848.3,1.997,0.1303
ren_014,0.0369,0.0011,2.847,0.01217897,32.8832,conventional,high,renewable,643.387,155.41,7.971,514.384,0.1,172.0,0.906,120.7,3.02,0.1021
ren_015,0.1507,0.0727,2.0054,0.10973908,296.2955,recycled,,renewable,1619.291,139.553,15.894,1326.411,22.001,712.285,0.745,863.2,1.036,0.1532
ren_016,0.0955,0.0326,4.5713,0.11580286,312.6677,conventional,high,renewable,7029.844,1641.729,15.743,3088.551,12.505,1636.191,0.927,490.2,2.699,0.1015
ren_017,0.1327,0.1085,3.9863,0.07306549,197.2768,conventional,high,renewable,3460.743,685.094,45.615,2352.394,14.948,1249.857,0.981,663.8,3.645,0.1225
ren_018,0.0381,0.0034,4.1297,0.01872281,50.5516,conventional,high,renewable,872.382,225.215,10.918,835.946,0.673,294.564,0.95,352.8,3.125,0.1271
ren_019,0.0943,0.0693,2.1107,0.0270577,73.0558,recycled,,renewable,540.47,59.793,4.414,366.954,0.738,216.119,0.88,479.3,1.491,0.1363
ren_020,0.1232,0.0521,1.8299,0.07168446,193.548,conventional,medium,renewable,3540.223,1128.019,18.658,4616.539,1.05,1098.735,0.724,158.1,3.212,0.106
ren_021,0.0351,0.002,4.949,0.01913532,51.6654,recycled,,renewable,418.427,22.62,4.722,183.232,0.759,175.451,0.733,573.0,1.598,0.1472
ren_022,0.1932,0.0538,5.2247,0.56516163,1525.9364,conventional,low,renewable,30681.136,8762.053,276.165,26688.615,70.257,11863.58,0.41,556.4,4.733,0.122
ren_023,0.0706,0.0543,2.7884,0.01782071,48.1159,conventional,high,renewable,794.954,166.795,9.358,859.193,1.133,245.753,0.884,211.9,3.188,0.0838
ren_024,0.0281,0.0098,4.8823,0.01068366,28.8459,recycled,,renewable,258.15,17.639,1.89,127.444,0.253,62.025,0.846,342.6,0.742,0.1268
ren_025,0.1663,0.1558,3.377,0.03596379,97.1022,recycled,,renewable,550.074,55.461,8.82,267.824,5.683,263.133,0.841,812.5,1.494,0.1307
ren_026,0.1193,0.0989,2.4805,0.03471412,93.7281,conventional,high,renewable,2098.99,560.031,20.839,581.705,5.585,443.855,0.903,1086.9,2.327,0.1007
ren_027,0.132,0.1169,0.9677,0.01143246,30.8676,recycled,,renewable,151.949,10.772,1.797,63.072,0.111,88.913,0.573,109.5,1.834,0.1193
ren_028,0.0822,0.0346,4.0386,0.07056262,190.5191,conventional,high,renewable,2857.386,859.78,34.731,683.199,15.194,879.222,0.816,963.3,2.759,0.0913
