Sample_ID,Energy_Type,Thickness_mm,Length_m,Width_m,Number_of_Sheets,Total_Weight_kg,Casting_Electricity_kWh,Casting_Carbon_kgCO2e,Casting_NaturalGas_Nm3,Casting_WasteWater_L,HotRolling_Electricity_kWh,HotRolling_Carbon_kgCO2e,HotRolling_NaturalGas_Nm3,HotRolling_WasteWater_L,ColdRolling_Electricity_kWh,ColdRolling_Carbon_kgCO2e,ColdRolling_NaturalGas_Nm3,ColdRolling_WasteWater_L,HeatTreatment_Electricity_kWh,HeatTreatment_Carbon_kgCO2e,HeatTreatment_NaturalGas_Nm3,HeatTreatment_WasteWater_L,Finishing_Electricity_kWh,Finishing_Carbon_kgCO2e,Finishing_NaturalGas_Nm3,Finishing_WasteWater_L,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,manufacturing_cost_per_unit,Quality_Score,Transport_Cost
NON-001,Non-Renewable,7.12,2.43,1.07,28.0,1395.51,4113.299,1376.3973,551.493,9404.79,2702.619,887.6036,169.11,8256.12,1344.077,352.0616,91.858,4850.78,1599.246,455.9296,854.919,5017.53,1000.861,420.2479,88.569,3100.89,10760.102,3492.24,1755.949,30630.12,3675.03,79.2,217.95
NON-002,Non-Renewable,2.67,2.47,2.08,5.0,184.75,497.028,167.0872,50.513,1053.67,335.976,112.6428,34.586,1251.96,184.95,69.3174,7.465,486.73,246.056,104.1461,92.407,637.21,164.938,58.3709,10.489,229.32,1428.947,511.5643,195.459,3658.88,498.04,82.8,32.24
NON-003,Non-Renewable,3.76,2.52,1.54,34.0,1340.74,4140.074,1457.6558,425.454,8505.29,2731.659,1051.519,242.782,4468.38,1552.854,463.8891,63.658,4216.5,1443.396,616.4246,872.685,5591.2,547.107,201.8203,71.605,1766.98,10415.091,3791.3088,1676.183,24548.35,3072.76,84.0,203.63
NON-004,Non-Renewable,7.07,3.77,1.47,46.0,4879.22,14918.224,4795.9033,785.056,25464.99,9166.733,3584.1172,973.126,21584.0,5647.835,2081.9918,450.123,11233.2,6436.182,1919.0838,2622.006,17269.43,3577.99,970.2855,135.904,8021.25,39746.964,13351.3817,4966.215,83572.87,12671.03,86.0,855.45
NON-005,Non-Renewable,8.62,2.92,1.29,18.0,1582.21,3882.711,1614.5188,371.295,9824.73,3172.317,1123.9728,127.087,11001.74,1967.016,573.4387,89.117,4809.96,2723.827,1216.805,795.88,5843.24,1271.284,418.0923,101.047,2091.91,13017.156,4946.8276,1484.426,33571.57,4051.13,86.3,345.48
NON-006,Non-Renewable,1.25,3.14,1.01,23.0,247.43,691.073,185.6673,55.478,1907.78,494.443,168.8435,42.168,1476.53,180.414,70.6753,26.112,576.98,402.026,123.5456,129.305,988.68,112.754,43.1817,18.13,592.01,1880.709,591.9133,271.192,5541.98,609.72,80.7,48.62
NON-007,Non-Renewable,5.87,1.42,1.96,40.0,1768.14,4603.099,2004.7202,597.064,11132.65,3759.328,999.3414,323.793,11114.54,2202.964,607.4149,66.058,4025.75,2333.063,781.2528,1104.887,4184.71,885.306,365.0373,85.011,4625.23,13783.76,4757.7666,2176.813,35082.88,3897.78,82.2,376.96
NON-008,Non-Renewable,6.03,2.03,2.29,19.0,1441.28,4181.947,1070.0094,445.32,5950.76,3057.459,1053.5473,136.36,7452.21,1066.642,406.0419,172.446,5100.4,2102.859,568.8802,979.976,5741.35,611.894,249.9343,73.683,2668.87,11020.802,3348.4132,1807.786,26913.6,3852.42,80.4,242.28
NON-009,Non-Renewable,2.23,2.61,2.61,10.0,409.39,1095.349,490.5049,85.624,3138.93,918.213,246.319,55.529,2050.58,363.621,94.348,21.187,897.0,487.42,200.6017,310.314,871.87,225.563,100.6274,21.44,922.2,3090.166,1132.401,494.094,7880.57,902.02,81.3,89.59
NON-010,Non-Renewable,4.06,1.49,1.65,48.0,1294.52,3375.639,1383.2848,452.707,6256.38,2472.987,972.1811,167.332,4872.59,1657.622,630.1452,139.667,2654.38,1570.926,550.4748,552.731,6445.52,670.858,217.9339,42.513,1567.52,9748.032,3754.0199,1354.95,21796.4,3028.5,78.9,237.47
NON-011,Non-Renewable,3.17,2.81,0.51,18.0,223.12,620.386,175.1989,66.793,1154.12,455.709,116.3149,41.614,683.75,173.18,70.213,7.615,763.52,396.449,168.2277,152.629,1087.83,137.198,58.2511,9.228,638.02,1782.922,588.2055,277.879,4327.23,510.78,87.2,45.35
NON-012,Non-Renewable,8.54,1.62,1.99,1.0,74.34,219.235,55.1481,12.728,364.42,164.485,53.0818,10.764,391.95,62.095,22.6293,6.652,193.02,99.237,33.802,57.461,279.71,64.983,23.4723,3.72,74.87,610.036,188.1335,91.324,1303.97,185.0,87.1,10.4
NON-013,Non-Renewable,0.99,3.03,1.43,43.0,501.46,1165.362,505.802,160.58,3819.55,1015.587,418.8186,60.308,2205.54,468.323,187.7787,31.71,1245.84,877.618,378.782,270.546,1957.65,269.243,78.4098,20.149,829.51,3796.134,1569.591,543.292,10058.1,1368.66,85.7,95.76
NON-014,Non-Renewable,9.61,3.11,1.11,6.0,539.36,1386.674,386.9552,93.335,3458.25,1000.481,363.0886,55.533,3078.48,447.295,136.6956,52.188,1682.53,683.842,245.224,365.469,2554.64,372.353,110.4165,34.952,1378.36,3890.645,1242.3799,601.476,12152.26,1251.45,85.7,89.8
NON-015,Non-Renewable,7.91,2.19,1.33,47.0,2922.59,8452.229,3419.5652,941.348,14078.75,5639.085,2322.1346,470.549,8838.24,2199.087,702.2982,336.077,8716.28,3554.282,1144.7799,1415.297,9538.17,1487.65,623.5493,138.461,4558.08,21332.333,8212.3271,3301.732,45729.51,8065.57,79.1,616.58
NON-016,Non-Renewable,0.91,4.54,1.71,22.0,420.3,980.44,253.0876,98.01,3273.53,854.211,276.5721,64.49,1607.47,335.84,108.2625,45.268,1268.82,520.136,228.8859,305.303,1247.85,372.41,166.6425,18.712,971.68,3063.037,1033.4506,531.783,8369.34,1026.97,78.3,53.91
NON-017,Non-Renewable,3.0,2.36,1.5,10.0,286.18,903.893,244.5718,87.659,1650.36,542.737,176.0629,52.714,1179.62,203.862,88.3984,30.852,730.86,406.035,110.3674,125.168,1291.38,173.179,66.2139,21.919,426.49,2229.706,685.6145,318.312,5278.71,631.86,75.3,54.64
NON-018,Non-Renewable,9.28,3.34,1.44,27.0,3246.6,9976.874,3795.5098,676.087,23045.39,5500.48,1557.2518,498.424,12840.72,3645.497,1166.2079,178.459,12979.36,3352.088,1270.9928,1348.896,13897.48,1672.143,448.0782,191.247,8003.52,24147.082,8238.0406,2893.113,70766.47,8463.41,75.7,485.14
NON-019,Non-Renewable,4.79,2.44,2.53,7.0,556.48,1586.496,710.1839,209.035,2720.41,890.396,397.223,103.463,3716.1,528.265,210.7373,27.354,1549.57,935.572,257.771,421.557,1941.84,341.147,106.1409,41.742,1132.57,4281.877,1682.0562,803.151,11060.49,1492.7,86.1,118.11
NON-020,Non-Renewable,3.38,2.7,1.99,22.0,1077.79,3383.785,1115.0004,290.405,6971.95,2029.821,910.366,99.008,4184.43,963.106,269.231,59.903,3835.31,1528.644,392.5417,854.74,4147.36,462.878,176.9277,46.024,1370.24,8368.234,2864.0668,1350.08,20509.28,2735.65,84.5,201.67
