Sample_ID,Energy_Type,Thickness_mm,Length_m,Width_m,Number_of_Sheets,Total_Weight_kg,Casting_Electricity_kWh,Casting_Carbon_kgCO2e,Casting_NaturalGas_Nm3,Casting_WasteWater_L,HotRolling_Electricity_kWh,HotRolling_Carbon_kgCO2e,HotRolling_NaturalGas_Nm3,HotRolling_WasteWater_L,ColdRolling_Electricity_kWh,ColdRolling_Carbon_kgCO2e,ColdRolling_NaturalGas_Nm3,ColdRolling_WasteWater_L,HeatTreatment_Electricity_kWh,HeatTreatment_Carbon_kgCO2e,HeatTreatment_NaturalGas_Nm3,HeatTreatment_WasteWater_L,Finishing_Electricity_kWh,Finishing_Carbon_kgCO2e,Finishing_NaturalGas_Nm3,Finishing_WasteWater_L,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,manufacturing_cost_per_unit,Quality_Score,Transport_Cost
REN-001,Renewable,4.06,5.75,2.33,30.0,4406.58,11703.96,270.5943,491.848,24670.37,9786.048,334.3056,229.4,21635.12,6093.022,147.7362,136.205,6022.95,6360.431,193.9622,1892.994,8256.55,3551.38,80.9355,95.56,4624.89,37494.841,1027.5337,2846.007,65209.89,13745.22,92.9,748.97
REN-002,Renewable,5.39,3.96,0.62,30.0,1064.83,2843.659,60.5729,308.564,6279.2,2519.263,65.7333,63.642,4315.44,1179.947,26.4789,52.933,1138.07,2052.417,51.6708,531.092,2060.59,809.308,25.0353,18.522,2081.08,9404.595,229.4912,974.753,15874.39,3559.3,94.4,255.01
REN-003,Renewable,6.18,5.61,0.72,10.0,675.06,1718.189,45.5434,119.983,2574.72,1606.729,43.5987,52.718,2449.19,606.644,21.8658,16.521,2007.49,1227.127,29.4195,203.637,2326.53,576.118,19.9223,27.577,412.51,5734.807,160.3497,420.436,9770.43,2059.57,86.2,159.52
REN-004,Renewable,6.42,2.65,0.66,16.0,485.18,1370.735,47.4166,110.385,2746.94,1033.71,23.1467,58.865,2077.73,578.774,20.4998,24.079,992.43,748.17,15.3438,161.259,530.93,396.98,10.4355,14.722,903.1,4128.369,116.8423,369.31,7251.13,1443.18,89.1,109.44
REN-005,Renewable,2.67,1.38,1.22,8.0,97.92,335.844,12.1449,22.197,549.77,231.348,5.4902,13.636,354.29,133.684,5.0696,3.827,119.48,135.363,3.8635,53.407,350.78,49.302,1.4896,2.614,81.59,885.54,28.0579,95.682,1455.89,282.4,88.4,23.92
REN-006,Renewable,3.57,3.59,2.26,18.0,1407.88,4887.855,191.8431,211.684,6323.84,2830.706,72.7401,75.587,5390.34,1621.703,34.1037,51.696,3965.34,1959.276,44.8633,629.091,5570.91,874.333,29.2401,56.97,1205.79,12173.872,372.7903,1025.028,22456.23,4659.73,88.7,300.2
REN-007,Renewable,6.52,3.68,0.73,41.0,1926.57,5434.421,128.9608,208.368,9194.88,4381.581,89.0852,194.986,5162.21,2411.331,56.6357,118.4,3416.71,3755.618,85.4419,775.096,2582.41,1854.025,69.6127,39.143,2870.54,17836.976,429.7363,1335.993,23226.75,6496.49,90.6,391.03
REN-008,Renewable,2.8,1.47,2.74,45.0,1366.42,4281.124,114.6511,232.075,7075.13,3317.63,125.2131,174.884,5364.68,1173.613,27.2661,100.996,3023.69,1649.754,36.3432,681.911,1387.17,793.074,24.5652,51.481,2019.49,11215.196,328.0386,1241.348,18870.15,4040.48,92.1,237.38
REN-009,Renewable,3.59,4.73,2.12,42.0,4093.76,12926.51,405.4551,486.072,16797.3,8128.741,202.2414,603.015,13015.26,5831.285,190.2327,277.101,8209.11,6801.877,203.0384,1467.911,12966.4,2621.587,53.7067,146.634,3134.45,36310.001,1054.6743,2980.734,54122.53,14157.54,94.5,988.59
REN-010,Renewable,4.02,1.08,2.82,21.0,692.04,2399.075,94.2174,187.268,2687.44,1432.231,53.0251,56.535,1735.98,823.366,31.8833,42.742,1481.06,884.252,28.5615,413.161,982.88,525.375,19.7265,27.426,1069.57,6064.299,227.4138,727.132,7956.92,2278.03,88.6,124.12
