Sample_ID,Grade,Prep_of_Mining__Electricity_kWh,Prep_of_Mining__Carbon_kgCO2e,Prep_of_Mining__NaturalGas_Nm3,Prep_of_Mining__WasteWater_L,Prep_of_Mining__LiquidFuel_L,Prep_of_Mining__Fluorine_g,Prep_of_Mining__SO2_g,Actual_Mining__Electricity_kWh,Actual_Mining__Carbon_kgCO2e,Actual_Mining__NaturalGas_Nm3,Actual_Mining__WasteWater_L,Actual_Mining__LiquidFuel_L,Actual_Mining__Fluorine_g,Actual_Mining__SO2_g,Grinding__Electricity_kWh,Grinding__Carbon_kgCO2e,Grinding__NaturalGas_Nm3,Grinding__WasteWater_L,Grinding__LiquidFuel_L,Grinding__Fluorine_g,Grinding__SO2_g,Pressure_Digestion__Electricity_kWh,Pressure_Digestion__Carbon_kgCO2e,Pressure_Digestion__NaturalGas_Nm3,Pressure_Digestion__WasteWater_L,Pressure_Digestion__LiquidFuel_L,Pressure_Digestion__Fluorine_g,Pressure_Digestion__SO2_g,Clarification__Electricity_kWh,Clarification__Carbon_kgCO2e,Clarification__NaturalGas_Nm3,Clarification__WasteWater_L,Clarification__LiquidFuel_L,Clarification__Fluorine_g,Clarification__SO2_g,Precipitation__Electricity_kWh,Precipitation__Carbon_kgCO2e,Precipitation__NaturalGas_Nm3,Precipitation__WasteWater_L,Precipitation__LiquidFuel_L,Precipitation__Fluorine_g,Precipitation__SO2_g,Seed_Separation__Electricity_kWh,Seed_Separation__Carbon_kgCO2e,Seed_Separation__NaturalGas_Nm3,Seed_Separation__WasteWater_L,Seed_Separation__LiquidFuel_L,Seed_Separation__Fluorine_g,Seed_Separation__SO2_g,Washing_Filtering_1__Electricity_kWh,Washing_Filtering_1__Carbon_kgCO2e,Washing_Filtering_1__NaturalGas_Nm3,Washing_Filtering_1__WasteWater_L,Washing_Filtering_1__LiquidFuel_L,Washing_Filtering_1__Fluorine_g,Washing_Filtering_1__SO2_g,Washing_Filtering_2__Electricity_kWh,Washing_Filtering_2__Carbon_kgCO2e,Washing_Filtering_2__NaturalGas_Nm3,Washing_Filtering_2__WasteWater_L,Washing_Filtering_2__LiquidFuel_L,Washing_Filtering_2__Fluorine_g,Washing_Filtering_2__SO2_g,Calcination__Electricity_kWh,Calcination__Carbon_kgCO2e,Calcination__NaturalGas_Nm3,Calcination__WasteWater_L,Calcination__LiquidFuel_L,Calcination__Fluorine_g,Calcination__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
M-001,Medium,0.020858327,0.011892908,0.001303469,0.156471225,0.004415296,0.000238946,0.001987158,0.05181284,0.033459211,0.003777219,0.418091098,0.010478387,0.000715657,0.004663825,0.160001624,0.096225518,0.006194904,0.666275508,0.008388834,0.000903976,0.007362083,0.310454516,0.196149362,0.028499141,1.255377318,0.014519561,0.001541782,0.010210259,0.115950997,0.070723143,0.005659412,0.93761575,0.005168267,0.000481986,0.004382254,0.128006436,0.067603762,0.004331911,0.583307752,0.003219251,0.000795226,0.00352823,0.068372564,0.034086227,0.002811155,0.397205171,0.002029047,0.000423745,0.002429484,0.085618644,0.04911026,0.001769618,0.636764475,0.003134536,0.000278128,0.002724801,0.059361704,0.034045443,0.001291323,0.384112034,0.001844997,0.000198713,0.001584846,0.487068828,0.302171802,0.039118872,0.263514006,0.020736003,0.001317207,0.012324043,1.48750648,0.895467636,0.094757022,5.698734336,0.07393418,0.006895365,0.051196982
M-002,Medium,0.019157747,0.013305977,0.001324604,0.157786054,0.004209052,0.000264402,0.001854284,0.050041749,0.030936517,0.003654659,0.43889099,0.011917967,0.000723646,0.004824816,0.15665582,0.086456733,0.006233201,0.61478983,0.008370457,0.001015687,0.007600696,0.3769741,0.236270255,0.023730533,1.396583189,0.016655184,0.00147041,0.00964073,0.132578232,0.074388049,0.004947217,0.809148798,0.005828882,0.000520021,0.004079968,0.111540422,0.062009264,0.004840459,0.538419377,0.003170383,0.000781566,0.003271356,0.064313177,0.037250063,0.002706284,0.40690401,0.001836583,0.000383462,0.002783277,0.090328883,0.046593366,0.001990438,0.551169659,0.00273756,0.000346934,0.002577323,0.054384327,0.035323628,0.001181667,0.400469661,0.001884046,0.000200216,0.001794662,0.474977665,0.293113169,0.039613949,0.254797864,0.019925755,0.00129051,0.012016023,1.530952121,0.91564702,0.090223011,5.568959433,0.076535869,0.006996854,0.050443133
M-003,Medium,0.01892828,0.012216971,0.00122407,0.15567779,0.004332287,0.000242911,0.001979759,0.052652686,0.03400116,0.003800798,0.399389296,0.011409092,0.000667057,0.004946689,0.157374741,0.095610928,0.006502753,0.569983582,0.007873857,0.001175761,0.006998117,0.348363816,0.212581734,0.026479188,1.391482787,0.014442258,0.001627316,0.009416998,0.128909736,0.076906684,0.005515838,0.888489283,0.004849322,0.000545162,0.003885115,0.11750305,0.06528071,0.004509667,0.626131784,0.003233947,0.000728478,0.003174541,0.065685294,0.039039862,0.002692515,0.370429183,0.002235921,0.000396092,0.002795645,0.085031991,0.052295438,0.002046581,0.668849057,0.00290031,0.000328055,0.002679249,0.055270471,0.034463286,0.001371571,0.410533543,0.001934378,0.000225827,0.001721605,0.432532864,0.283631311,0.039707817,0.251953142,0.021055709,0.001332526,0.01172723,1.46225293,0.906028085,0.093850797,5.732919447,0.074267082,0.007269186,0.049324949
M-004,Medium,0.017847986,0.011391231,0.001321553,0.13637159,0.004821843,0.000257574,0.002323118,0.059080687,0.032152071,0.003875532,0.412908331,0.012160383,0.000587182,0.00465194,0.150274792,0.09681811,0.006690551,0.691025735,0.007247899,0.000897881,0.007511953,0.346213657,0.183229117,0.026222528,1.360836575,0.015487659,0.00151786,0.009014438,0.12715763,0.069403078,0.004980736,0.87098841,0.005298691,0.000525156,0.003671016,0.115747084,0.056650956,0.004597912,0.634317024,0.002967335,0.000753036,0.003313106,0.069804652,0.035437393,0.002493809,0.344695078,0.001961901,0.000436988,0.002642547,0.085687219,0.051663445,0.001948724,0.594068063,0.002862606,0.000316156,0.002732837,0.053908335,0.036399456,0.001350983,0.402429111,0.001927576,0.000201894,0.001736028,0.43460577,0.256114989,0.040085019,0.231910238,0.018086675,0.001140802,0.011640586,1.460327811,0.829259845,0.093567346,5.679550154,0.072822567,0.006634528,0.04923757
M-005,Medium,0.019327056,0.012111953,0.001220034,0.145210761,0.00467466,0.000251555,0.001986397,0.049284057,0.032847188,0.004199884,0.403487675,0.010781127,0.000659864,0.005126164,0.156072529,0.091801846,0.006436977,0.65813378,0.007342856,0.000977666,0.006564243,0.329632578,0.193061507,0.026244615,1.231523198,0.016072731,0.001563195,0.00804311,0.135023663,0.079006919,0.004895083,0.865948649,0.004937226,0.000522997,0.003609039,0.104622186,0.063531896,0.004516785,0.571274085,0.003022962,0.000761597,0.003301637,0.064827835,0.036791939,0.002497204,0.416961229,0.001814681,0.000401219,0.002781302,0.088234453,0.050094189,0.001889219,0.662144603,0.002500801,0.000294142,0.002665965,0.061376834,0.034557333,0.001225751,0.408383808,0.001754034,0.000199289,0.001925113,0.418175556,0.313146568,0.040905757,0.276733818,0.018967388,0.0012885,0.010710695,1.426576747,0.906951337,0.094031311,5.639801606,0.071868467,0.006920022,0.046713666
M-006,Medium,0.018896376,0.012709702,0.001399408,0.145809729,0.00445188,0.000257679,0.001789414,0.053814259,0.031111749,0.003855041,0.379600645,0.010535391,0.00064973,0.005133851,0.15257742,0.089577144,0.006622538,0.713416222,0.007864376,0.001101122,0.006563535,0.367388085,0.194533096,0.023734397,1.243290213,0.016697024,0.001647439,0.009230469,0.118244187,0.074526826,0.005292562,0.853751359,0.004634324,0.000492685,0.003885256,0.120702016,0.05657785,0.004506478,0.589937328,0.003412913,0.000811885,0.003361708,0.061932228,0.032302375,0.002539706,0.413047548,0.002110317,0.00040635,0.002665861,0.087721812,0.049036482,0.001935037,0.685448464,0.002578182,0.000341725,0.002678131,0.061673068,0.03099453,0.001344939,0.397916714,0.001668029,0.000210682,0.001928397,0.432317547,0.260705605,0.038788665,0.258658742,0.020130842,0.001372834,0.011658986,1.475266998,0.832075356,0.090018769,5.680876964,0.074083278,0.007292131,0.048895608
M-007,Medium,0.021634757,0.012513389,0.001273429,0.141167134,0.004479489,0.00025484,0.002060483,0.0534189,0.03023856,0.003939636,0.405451932,0.0120462,0.000684036,0.005433428,0.156553031,0.095744414,0.006979185,0.598887987,0.007639188,0.000992595,0.007309946,0.390420251,0.200673932,0.022333273,1.268382669,0.016440761,0.001609483,0.009329893,0.127852451,0.069710104,0.005358092,0.80340688,0.005870081,0.000537503,0.003766393,0.112779608,0.064643559,0.004485706,0.623547518,0.003285745,0.00074633,0.003612492,0.065189097,0.03805116,0.002506698,0.398355291,0.001985793,0.000346519,0.002909143,0.0923335,0.04951187,0.001823184,0.636795828,0.002743964,0.000318547,0.002760857,0.058908462,0.036686217,0.001343574,0.390237255,0.001966312,0.000228134,0.002158468,0.424839803,0.290098391,0.034209091,0.268485308,0.018869296,0.001447528,0.011165283,1.503929861,0.887871595,0.084251867,5.534717803,0.07532683,0.007165516,0.050506386
M-008,Medium,0.017556595,0.012006614,0.00114848,0.162913119,0.003995628,0.000260437,0.001710948,0.051017326,0.035651178,0.003982985,0.370131012,0.011029657,0.000650691,0.005345003,0.143419436,0.096872394,0.005462866,0.625843927,0.007575296,0.001078861,0.007159547,0.333814128,0.195912164,0.026304775,1.293935535,0.015066974,0.001515744,0.009473773,0.126029298,0.075008117,0.005865737,0.774022302,0.004631855,0.000544041,0.003743844,0.114803206,0.062004265,0.004480257,0.640173543,0.003403808,0.00081968,0.002978438,0.060585325,0.030302795,0.002475841,0.41201374,0.002009475,0.000384903,0.002596579,0.082312724,0.051312495,0.002038114,0.564509512,0.002778264,0.000329164,0.00266314,0.059564724,0.039412984,0.001291997,0.425653328,0.001740747,0.000210224,0.001869424,0.460230543,0.268793661,0.039474838,0.282430086,0.020016155,0.001373784,0.011536391,1.449333305,0.867276667,0.09252589,5.551626105,0.07224786,0.007167529,0.049077086
M-009,Medium,0.02036276,0.012553489,0.001227065,0.158931667,0.004283779,0.000250292,0.001971782,0.052911945,0.030219647,0.004142522,0.403161864,0.010590552,0.000591034,0.005155543,0.151895534,0.094224807,0.006360745,0.573014029,0.007621283,0.001021247,0.00741731,0.349005464,0.228600696,0.023067543,1.400566547,0.015393537,0.001639116,0.009142845,0.138740391,0.073676782,0.004862943,0.915819241,0.005165184,0.000526797,0.004184116,0.109876413,0.067283708,0.004391643,0.580438175,0.003263859,0.00071096,0.003100658,0.070181365,0.038303184,0.002590391,0.395594271,0.001916147,0.000421215,0.002569266,0.086973631,0.05412812,0.001860563,0.681388383,0.002483489,0.000341998,0.002669973,0.05638094,0.030030942,0.001265117,0.390478989,0.001754751,0.000206315,0.001922848,0.460573112,0.291191736,0.03647921,0.246489232,0.021569433,0.00124361,0.012843281,1.496901555,0.920213109,0.086247743,5.745882398,0.074042015,0.006952584,0.050977623
M-010,Medium,0.019220358,0.012351667,0.001382097,0.167706498,0.004520252,0.000254044,0.001943566,0.053036854,0.034209075,0.003900973,0.404240574,0.012118129,0.000664623,0.005295615,0.142019945,0.079072056,0.006648942,0.646363491,0.007563097,0.001054943,0.007124519,0.388220209,0.209056753,0.02485422,1.375945751,0.015400153,0.001608462,0.008843678,0.125015828,0.075774431,0.005203936,0.868921777,0.005117579,0.00046366,0.003800419,0.122479729,0.063859563,0.004483858,0.619044785,0.003113479,0.000709,0.003219199,0.063143193,0.034324889,0.002573097,0.401309545,0.001948931,0.000397064,0.002878177,0.084064279,0.051532624,0.001891415,0.592840421,0.002635789,0.000303187,0.002787901,0.065127661,0.032372066,0.001268045,0.414450709,0.001862501,0.000211234,0.001957886,0.389863505,0.245722945,0.037858984,0.276832585,0.017698722,0.001069315,0.012094285,1.452191559,0.838276069,0.090065567,5.767656134,0.071978632,0.006735533,0.049945245
