Sample_ID,Scrap_Input_kg,Scrap_Quality_pct,Crushing__Electricity_kWh,Crushing__Carbon_kgCO2e,Crushing__NaturalGas_Nm3,Crushing__WasteWater_L,Crushing__LiquidFuel_L,Crushing__Fluorine_g,Crushing__SO2_g,Furnace_Melting__Electricity_kWh,Furnace_Melting__Carbon_kgCO2e,Furnace_Melting__NaturalGas_Nm3,Furnace_Melting__WasteWater_L,Furnace_Melting__LiquidFuel_L,Furnace_Melting__Fluorine_g,Furnace_Melting__SO2_g,Separation__Electricity_kWh,Separation__Carbon_kgCO2e,Separation__NaturalGas_Nm3,Separation__WasteWater_L,Separation__LiquidFuel_L,Separation__Fluorine_g,Separation__SO2_g,Final_Casting__Electricity_kWh,Final_Casting__Carbon_kgCO2e,Final_Casting__NaturalGas_Nm3,Final_Casting__WasteWater_L,Final_Casting__LiquidFuel_L,Final_Casting__Fluorine_g,Final_Casting__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
R-001,1.071,0.983,0.0218808,0.00068916,0.0,0.52817,0.010935,0.0,0.023843,2.5855624,0.08525778,0.561345,0.197111,0.100903,0.0,0.545183,0.1332688,0.00353528,0.058516,1.102581,0.021786,0.0,0.060251,0.217534,0.00652882,0.02295,0.110008,0.057588,0.0,0.11045,2.958246,0.09601104,0.642811,1.93787,0.191212,0.0,0.739727
R-002,1.203,0.977,0.0235968,0.00069182,0.0,0.587481,0.013033,0.0,0.02448,2.797706,0.08914838,0.660551,0.270847,0.109832,0.0,0.583399,0.139056,0.00490836,0.066915,1.317342,0.023934,0.0,0.061953,0.2286012,0.0071821,0.023056,0.131478,0.066755,0.0,0.123556,3.18896,0.10193066,0.750522,2.307148,0.213554,0.0,0.793388
R-003,1.087,0.941,0.02513,0.00067074,0.0,0.564604,0.011631,0.0,0.025514,2.85561,0.07342332,0.615226,0.203798,0.137172,0.0,0.568307,0.144394,0.0040826,0.055964,1.207653,0.021564,0.0,0.054868,0.2200016,0.00707566,0.020635,0.118834,0.056877,0.0,0.118187,3.2451356,0.08525232,0.691825,2.094889,0.227244,0.0,0.766876
R-004,1.12,0.96,0.0249716,0.0007149,0.0,0.603485,0.011362,0.0,0.023062,2.9108828,0.0847947,0.468811,0.272548,0.139747,0.0,0.645541,0.1477708,0.00417994,0.058848,1.268123,0.021533,0.0,0.064041,0.2291832,0.00778142,0.024968,0.127004,0.059247,0.0,0.116476,3.3128084,0.09747096,0.552627,2.27116,0.231889,0.0,0.84912
R-005,1.195,0.908,0.02851,0.00078044,0.0,0.768748,0.013266,0.0,0.024878,3.5989648,0.10792528,0.640522,0.247729,0.131056,0.0,0.722726,0.174882,0.00497018,0.061106,1.502023,0.028207,0.0,0.061917,0.2723172,0.00824686,0.02759,0.141841,0.065076,0.0,0.13084,4.074674,0.12192276,0.729218,2.660341,0.237605,0.0,0.940361
R-006,1.129,0.921,0.0268936,0.00078456,0.0,0.629658,0.012933,0.0,0.027831,2.6693516,0.07902502,0.627258,0.258523,0.157009,0.0,0.670092,0.1445304,0.00430902,0.05981,1.330789,0.026854,0.0,0.05996,0.2324092,0.00766578,0.026143,0.128719,0.066522,0.0,0.136715,3.0731848,0.09178438,0.713211,2.347689,0.263318,0.0,0.894598
R-007,1.134,0.94,0.0238356,0.0007355,0.0,0.595334,0.012193,0.0,0.025905,2.8869452,0.0919659,0.535022,0.25083,0.138841,0.0,0.607038,0.1568284,0.00470046,0.063656,1.293992,0.026423,0.0,0.059869,0.2582492,0.00822216,0.02469,0.116563,0.066705,0.0,0.121257,3.3258584,0.10562402,0.623368,2.256719,0.244162,0.0,0.814069
R-008,1.363,0.854,0.0288244,0.00100058,0.0,0.789616,0.017702,0.0,0.032335,3.6343444,0.10971126,0.711737,0.323052,0.160329,0.0,0.852056,0.1807296,0.00620584,0.086681,1.658761,0.034662,0.0,0.092899,0.3567824,0.010548,0.030774,0.167727,0.087369,0.0,0.16719,4.2006808,0.12746568,0.829192,2.939156,0.300062,0.0,1.14448
R-009,1.345,0.865,0.0365776,0.00100686,0.0,0.784796,0.016866,0.0,0.033817,3.8573632,0.1306793,0.698084,0.307783,0.166212,0.0,0.856018,0.183908,0.00628036,0.089269,1.81076,0.033394,0.0,0.084978,0.3344568,0.00985746,0.031332,0.160799,0.082168,0.0,0.163752,4.4123056,0.14782398,0.818685,3.064138,0.29864,0.0,1.138565
R-010,1.048,0.998,0.0182656,0.00066898,0.0,0.531828,0.01059,0.0,0.020252,2.740874,0.07993684,0.567302,0.196318,0.116461,0.0,0.539824,0.1174708,0.00395326,0.049585,1.118841,0.018809,0.0,0.051804,0.2115608,0.00682148,0.021194,0.109018,0.049262,0.0,0.099415,3.0881712,0.09138056,0.638081,1.956005,0.195122,0.0,0.711295
