Sample_ID,Scrap_Input_kg,Scrap_Quality_pct,Crushing__Electricity_kWh,Crushing__Carbon_kgCO2e,Crushing__NaturalGas_Nm3,Crushing__WasteWater_L,Crushing__LiquidFuel_L,Crushing__Fluorine_g,Crushing__SO2_g,Furnace_Melting__Electricity_kWh,Furnace_Melting__Carbon_kgCO2e,Furnace_Melting__NaturalGas_Nm3,Furnace_Melting__WasteWater_L,Furnace_Melting__LiquidFuel_L,Furnace_Melting__Fluorine_g,Furnace_Melting__SO2_g,Separation__Electricity_kWh,Separation__Carbon_kgCO2e,Separation__NaturalGas_Nm3,Separation__WasteWater_L,Separation__LiquidFuel_L,Separation__Fluorine_g,Separation__SO2_g,Final_Casting__Electricity_kWh,Final_Casting__Carbon_kgCO2e,Final_Casting__NaturalGas_Nm3,Final_Casting__WasteWater_L,Final_Casting__LiquidFuel_L,Final_Casting__Fluorine_g,Final_Casting__SO2_g,Total__Electricity_kWh,Total__Carbon_kgCO2e,Total__NaturalGas_Nm3,Total__WasteWater_L,Total__LiquidFuel_L,Total__Fluorine_g,Total__SO2_g
R-001,1.071,0.983,0.021880800000000002,0.006891600000000001,0.0,0.52817,0.010935,0.0,0.023843,2.5855624,0.8525778000000002,0.561345,0.197111,0.100903,0.0,0.545183,0.13326880000000002,0.035352800000000004,0.058516,1.102581,0.021786,0.0,0.060251,0.217534,0.0652882,0.02295,0.110008,0.057588,0.0,0.11045,2.9582460000000004,0.9601104,0.642811,1.93787,0.191212,0.0,0.739727
R-002,1.203,0.977,0.0235968,0.006918199999999999,0.0,0.587481,0.013033,0.0,0.02448,2.7977060000000002,0.8914838,0.660551,0.270847,0.109832,0.0,0.583399,0.139056,0.049083600000000005,0.066915,1.317342,0.023934,0.0,0.061953,0.2286012,0.07182100000000001,0.023056,0.131478,0.066755,0.0,0.123556,3.1889600000000002,1.0193066,0.750522,2.307148,0.213554,0.0,0.793388
R-003,1.087,0.941,0.025130000000000003,0.0067074,0.0,0.564604,0.011631,0.0,0.025514,2.8556100000000004,0.7342332,0.615226,0.203798,0.137172,0.0,0.568307,0.144394,0.040826,0.055964,1.207653,0.021564,0.0,0.054868,0.22000160000000002,0.0707566,0.020635,0.118834,0.056877,0.0,0.118187,3.2451356,0.8525232000000001,0.691825,2.094889,0.227244,0.0,0.766876
R-004,1.12,0.96,0.0249716,0.007149,0.0,0.603485,0.011362,0.0,0.023062,2.9108828,0.847947,0.468811,0.272548,0.139747,0.0,0.645541,0.1477708,0.0417994,0.058848,1.268123,0.021533,0.0,0.064041,0.2291832,0.0778142,0.024968,0.127004,0.059247,0.0,0.116476,3.3128084,0.9747096000000002,0.552627,2.27116,0.231889,0.0,0.84912
R-005,1.195,0.908,0.028510000000000004,0.0078044,0.0,0.768748,0.013266,0.0,0.024878,3.5989648000000005,1.0792528000000001,0.640522,0.247729,0.131056,0.0,0.722726,0.174882,0.049701800000000004,0.061106,1.502023,0.028207,0.0,0.061917,0.2723172,0.0824686,0.02759,0.141841,0.065076,0.0,0.13084,4.074674000000001,1.2192276,0.729218,2.660341,0.237605,0.0,0.940361
R-006,1.129,0.921,0.026893600000000004,0.0078456,0.0,0.629658,0.012933,0.0,0.027831,2.6693516,0.7902502,0.627258,0.258523,0.157009,0.0,0.670092,0.1445304,0.0430902,0.05981,1.330789,0.026854,0.0,0.05996,0.23240919999999998,0.0766578,0.026143,0.128719,0.066522,0.0,0.136715,3.0731848,0.9178438,0.713211,2.347689,0.263318,0.0,0.894598
R-007,1.134,0.94,0.023835600000000002,0.007355,0.0,0.595334,0.012193,0.0,0.025905,2.8869452,0.9196590000000001,0.535022,0.25083,0.138841,0.0,0.607038,0.1568284,0.04700460000000001,0.063656,1.293992,0.026423,0.0,0.059869,0.2582492,0.0822216,0.02469,0.116563,0.066705,0.0,0.121257,3.3258584,1.0562402000000002,0.623368,2.256719,0.244162,0.0,0.814069
R-008,1.363,0.854,0.0288244,0.0100058,0.0,0.789616,0.017702,0.0,0.032335,3.6343444,1.0971126,0.711737,0.323052,0.160329,0.0,0.852056,0.18072960000000002,0.06205840000000001,0.086681,1.658761,0.034662,0.0,0.092899,0.3567824,0.10548,0.030774,0.167727,0.087369,0.0,0.16719,4.2006808,1.2746568,0.829192,2.939156,0.300062,0.0,1.14448
R-009,1.345,0.865,0.0365776,0.0100686,0.0,0.784796,0.016866,0.0,0.033817,3.8573632000000004,1.306793,0.698084,0.307783,0.166212,0.0,0.856018,0.18390800000000002,0.0628036,0.089269,1.81076,0.033394,0.0,0.084978,0.33445680000000005,0.09857460000000001,0.031332,0.160799,0.082168,0.0,0.163752,4.4123056,1.4782398,0.818685,3.064138,0.29864,0.0,1.138565
R-010,1.048,0.998,0.018265600000000003,0.0066898,0.0,0.531828,0.01059,0.0,0.020252,2.7408740000000003,0.7993684000000001,0.567302,0.196318,0.116461,0.0,0.539824,0.11747080000000001,0.0395326,0.049585,1.118841,0.018809,0.0,0.051804,0.2115608,0.0682148,0.021194,0.109018,0.049262,0.0,0.099415,3.0881712,0.9138056000000001,0.638081,1.956005,0.195122,0.0,0.711295
R-011,1.261,0.854,0.0297568,0.0095814,0.0,0.685146,0.014321,0.0,0.029943,3.7118656000000003,1.1284076,0.68752,0.299636,0.143789,0.0,0.755237,0.1782004,0.05811720000000001,0.074697,1.388996,0.030294,0.0,0.071822,0.31483720000000004,0.09397720000000001,0.031369,0.176455,0.075345,0.0,0.149608,4.234660000000001,1.2900834,0.793586,2.550233,0.263749,0.0,1.00661
R-012,1.3,0.868,0.033156000000000005,0.0095342,0.0,0.765612,0.015451,0.0,0.032832,3.6006284,1.0235011999999999,0.773829,0.282293,0.157645,0.0,0.766061,0.17619880000000002,0.051958000000000004,0.079549,1.493187,0.030834,0.0,0.076449,0.3342084,0.0901736,0.031359,0.147218,0.076206,0.0,0.15336,4.1441916,1.175167,0.884737,2.68831,0.280136,0.0,1.028702
