thickness_mm,length_m,width_m,number_of_sheets,total_weight_kg,casting_electricity_kwh,casting_carbon_kgco2e,casting_naturalgas_nm3,casting_wastewater_l,hotrolling_electricity_kwh,hotrolling_carbon_kgco2e,hotrolling_naturalgas_nm3,hotrolling_wastewater_l,coldrolling_electricity_kwh,coldrolling_carbon_kgco2e,coldrolling_naturalgas_nm3,coldrolling_wastewater_l,heattreatment_electricity_kwh,heattreatment_carbon_kgco2e,heattreatment_naturalgas_nm3,heattreatment_wastewater_l,finishing_electricity_kwh,finishing_carbon_kgco2e,finishing_naturalgas_nm3,finishing_wastewater_l,total_electricity_kwh,total_carbon_kgco2e,total_naturalgas_nm3,total_wastewater_l,manufacturing_cost_per_unit,quality_score,transport_cost,product_type,route_type,energy_source,grade,source_name,outer_radius_m,inner_radius_m,volume_m3,weight_kg,electricity_kwh,carbon_kgco2e,natural_gas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_usd,distance_km,price_per_kg_usd,electricity_price_usd_per_kwh,scrap_input_kg,scrap_quality_pct,crushing__electricity_kwh,crushing__carbon_kgco2e,crushing__naturalgas_nm3,crushing__wastewater_l,crushing__liquidfuel_l,crushing__fluorine_g,crushing__so2_g,furnace_melting__electricity_kwh,furnace_melting__carbon_kgco2e,furnace_melting__naturalgas_nm3,furnace_melting__wastewater_l,furnace_melting__liquidfuel_l,furnace_melting__fluorine_g,furnace_melting__so2_g,separation__electricity_kwh,separation__carbon_kgco2e,separation__naturalgas_nm3,separation__wastewater_l,separation__liquidfuel_l,separation__fluorine_g,separation__so2_g,final_casting__electricity_kwh,final_casting__carbon_kgco2e,final_casting__naturalgas_nm3,final_casting__wastewater_l,final_casting__liquidfuel_l,final_casting__fluorine_g,final_casting__so2_g,total__electricity_kwh,total__carbon_kgco2e,total__naturalgas_nm3,total__wastewater_l,total__liquidfuel_l,total__fluorine_g,total__so2_g,prep_of_mining__electricity_kwh,prep_of_mining__carbon_kgco2e,prep_of_mining__naturalgas_nm3,prep_of_mining__wastewater_l,prep_of_mining__liquidfuel_l,prep_of_mining__fluorine_g,prep_of_mining__so2_g,actual_mining__electricity_kwh,actual_mining__carbon_kgco2e,actual_mining__naturalgas_nm3,actual_mining__wastewater_l,actual_mining__liquidfuel_l,actual_mining__fluorine_g,actual_mining__so2_g,grinding__electricity_kwh,grinding__carbon_kgco2e,grinding__naturalgas_nm3,grinding__wastewater_l,grinding__liquidfuel_l,grinding__fluorine_g,grinding__so2_g,pressure_digestion__electricity_kwh,pressure_digestion__carbon_kgco2e,pressure_digestion__naturalgas_nm3,pressure_digestion__wastewater_l,pressure_digestion__liquidfuel_l,pressure_digestion__fluorine_g,pressure_digestion__so2_g,clarification__electricity_kwh,clarification__carbon_kgco2e,clarification__naturalgas_nm3,clarification__wastewater_l,clarification__liquidfuel_l,clarification__fluorine_g,clarification__so2_g,precipitation__electricity_kwh,precipitation__carbon_kgco2e,precipitation__naturalgas_nm3,precipitation__wastewater_l,precipitation__liquidfuel_l,precipitation__fluorine_g,precipitation__so2_g,seed_separation__electricity_kwh,seed_separation__carbon_kgco2e,seed_separation__naturalgas_nm3,seed_separation__wastewater_l,seed_separation__liquidfuel_l,seed_separation__fluorine_g,seed_separation__so2_g,washing_filtering_1__electricity_kwh,washing_filtering_1__carbon_kgco2e,washing_filtering_1__naturalgas_nm3,washing_filtering_1__wastewater_l,washing_filtering_1__liquidfuel_l,washing_filtering_1__fluorine_g,washing_filtering_1__so2_g,washing_filtering_2__electricity_kwh,washing_filtering_2__carbon_kgco2e,washing_filtering_2__naturalgas_nm3,washing_filtering_2__wastewater_l,washing_filtering_2__liquidfuel_l,washing_filtering_2__fluorine_g,washing_filtering_2__so2_g,calcination__electricity_kwh,calcination__carbon_kgco2e,calcination__naturalgas_nm3,calcination__wastewater_l,calcination__liquidfuel_l,calcination__fluorine_g,calcination__so2_g
4.06,5.75,2.33,30.0,4406.58,11703.96,270.5943,491.848,24670.37,9786.048,334.3056,229.4,21635.12,6093.022,147.7362,136.205,6022.95,6360.431,193.9622,1892.994,8256.55,3551.38,80.9355,95.56,4624.89,37494.841,1027.5337,2846.007,65209.89,13745.22,92.9,748.97,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.39,3.96,0.62,30.0,1064.83,2843.659,60.5729,308.564,6279.2,2519.263,65.7333,63.642,4315.44,1179.947,26.4789,52.933,1138.07,2052.417,51.6708,531.092,2060.59,809.308,25.0353,18.522,2081.08,9404.595,229.4912,974.753,15874.39,3559.3,94.4,255.01,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.18,5.61,0.72,10.0,675.06,1718.189,45.5434,119.983,2574.72,1606.729,43.5987,52.718,2449.19,606.644,21.8658,16.521,2007.49,1227.127,29.4195,203.637,2326.53,576.118,19.9223,27.577,412.51,5734.807,160.3497,420.436,9770.43,2059.57,86.2,159.52,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.42,2.65,0.66,16.0,485.18,1370.735,47.4166,110.385,2746.94,1033.71,23.1467,58.865,2077.73,578.774,20.4998,24.079,992.43,748.17,15.3438,161.259,530.93,396.98,10.4355,14.722,903.1,4128.369,116.8423,369.31,7251.13,1443.18,89.1,109.44,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.67,1.38,1.22,8.0,97.92,335.844,12.1449,22.197,549.77,231.348,5.4902,13.636,354.29,133.684,5.0696,3.827,119.48,135.363,3.8635,53.407,350.78,49.302,1.4896,2.614,81.59,885.54,28.0579,95.682,1455.89,282.4,88.4,23.92,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.57,3.59,2.26,18.0,1407.88,4887.855,191.8431,211.684,6323.84,2830.706,72.7401,75.587,5390.34,1621.703,34.1037,51.696,3965.34,1959.276,44.8633,629.091,5570.91,874.333,29.2401,56.97,1205.79,12173.872,372.7903,1025.028,22456.23,4659.73,88.7,300.2,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.52,3.68,0.73,41.0,1926.57,5434.421,128.9608,208.368,9194.88,4381.581,89.0852,194.986,5162.21,2411.331,56.6357,118.4,3416.71,3755.618,85.4419,775.096,2582.41,1854.025,69.6127,39.143,2870.54,17836.976,429.7363,1335.993,23226.75,6496.49,90.6,391.03,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,1.47,2.74,45.0,1366.42,4281.124,114.6511,232.075,7075.13,3317.63,125.2131,174.884,5364.68,1173.613,27.2661,100.996,3023.69,1649.754,36.3432,681.911,1387.17,793.074,24.5652,51.481,2019.49,11215.196,328.0386,1241.348,18870.15,4040.48,92.1,237.38,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.59,4.73,2.12,42.0,4093.76,12926.51,405.4551,486.072,16797.3,8128.741,202.2414,603.015,13015.26,5831.285,190.2327,277.101,8209.11,6801.877,203.0384,1467.911,12966.4,2621.587,53.7067,146.634,3134.45,36310.001,1054.6743,2980.734,54122.53,14157.54,94.5,988.59,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.02,1.08,2.82,21.0,692.04,2399.075,94.2174,187.268,2687.44,1432.231,53.0251,56.535,1735.98,823.366,31.8833,42.742,1481.06,884.252,28.5615,413.161,982.88,525.375,19.7265,27.426,1069.57,6064.299,227.4138,727.132,7956.92,2278.03,88.6,124.12,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.19,5.05,2.67,45.0,13405.33,40368.036,1212.2653,3480.815,66354.93,30716.661,1103.2151,1863.348,40403.47,14248.633,311.7549,733.229,14368.97,21079.591,650.3664,5173.953,37166.27,6907.098,143.3013,575.143,13945.38,113320.018,3420.903,11826.487,172239.01,38727.22,90.2,3043.0,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,4.11,0.71,3.0,60.63,183.797,5.6633,13.793,313.97,150.555,4.5657,4.99,265.91,60.0,1.7268,1.498,63.71,119.452,4.3862,30.849,135.02,35.57,0.8227,1.213,80.27,549.375,17.1647,52.343,858.87,200.1,91.6,10.79,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.57,4.69,1.89,30.0,6856.35,20017.786,499.5362,1173.769,36157.2,12410.502,277.0204,374.358,14550.44,9590.809,326.7892,332.193,8197.91,10924.165,321.929,2413.163,15780.26,4794.316,154.9379,242.74,3894.1,57737.577,1580.2127,4536.223,78579.91,20995.7,91.3,1373.42,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
